abind,1.4-5
sourcetools,0.1.7-1
sp,2.0-0
spatstat.data,3.0-1
spatstat.explore,3.2-1
spatstat.geom,3.2-4
spatstat.random,3.1-5
spatstat.sparse,3.0-2
spatstat.utils,3.0-3
SQUAREM,2021.1
stringi,1.7.12
stringr,1.5.0
SummarizedExperiment,1.30.2
survival,3.5-7
sys,3.4.2
tensor,1.5
TFBSTools,1.38.0
TFMPvalue,0.0.9
tibble,3.2.1
tidyr,1.3.0
tidyselect,1.2.0
timechange,0.2.0
timeDate,4022.108
tinytex,0.46
tweenr,2.0.2
tzdb,0.4.0
utf8,1.2.3
uwot,0.1.16
vctrs,0.6.3
viridisLite,0.4.2
vroom,1.6.3
withr,2.5.0
xfun,0.40
XML,3.99-0.14
xtable,1.8-4
XVector,0.40.0
yaml,2.3.7
zlibbioc,1.46.0
zoo,1.8-12
base,4.3.1
boot,1.3-28.1
class,7.3-22
cluster,2.1.4
codetools,0.2-19
compiler,4.3.1
datasets,4.3.1
foreign,0.8-84
graphics,4.3.1
grDevices,4.3.1
grid,4.3.1
KernSmooth,2.23-21
lattice,0.21-8
MASS,7.3-60
Matrix,1.5-4.1
methods,4.3.1
mgcv,1.8-42
nlme,3.1-162
nnet,7.3-19
parallel,4.3.1
rpart,4.1.19
spatial,7.3-16
splines,4.3.1
stats,4.3.1
stats4,4.3.1
survival,3.5-5
tcltk,4.3.1
tools,4.3.1
utils,4.3.1
